R100

L 
278

XCOORD.	YCOORD.	PROFIT	CUSTOMER	COLLECTRATE DELAYRATIO
35	35	0	0	0.0175	0.012	
41	49	10	1	0.0175	0.008	
35	17	7	1	0.019	0.0168	
55	45	13	1	0.01	0.012	
55	20	19	1	0.021	0.014	
15	30	26	1	0.014	0.014	
25	30	3	1	0.021	0.018	
20	50	5	1	0.0175	0.012	
10	43	9	1	0.02	0.0172	
55	60	16	1	0.021	0.018	
30	60	16	1	0.0175	0.008	
20	65	12	1	0.014	0.018	
50	35	19	1	0.014	0.018	
30	25	23	1	0.021	0.018	
15	10	20	1	0.014	0.018	
30	5	8	1	0.021	0.01	
10	20	19	1	0.0175	0.008	
5	30	2	1	0.021	0.01	
20	40	12	1	0.01	0.008	
15	60	17	1	0.021	0.014	
45	65	9	1	0.0175	0.016	
45	20	11	1	0.014	0.01	
45	10	18	1	0.021	0.018	
55	5	29	1	0.01	0.008	
65	35	3	1	0.01	0.012	
65	20	6	1	0.014	0.018	
45	30	17	1	0.021	0.014	
35	40	16	1	0.021	0.014	
41	37	16	1	0.0235	0.0152	
64	42	9	1	0.0145	0.0144	
40	60	21	1	0.01	0.012	
31	52	27	1	0.012	0.0172	
35	69	23	1	0.013	0.0136	
53	52	11	1	0.014	0.014	
65	55	14	1	0.01	0.008	
63	65	8	1	0.016	0.0112	
2	60	5	1	0.0115	0.0088	
20	20	8	1	0.01	0.012	
5	5	16	1	0.0175	0.012	
60	12	31	1	0.019	0.0128	
40	25	9	1	0.014	0.01	
42	7	5	1	0.017	0.0156	
24	12	5	1	0.022	0.0104	
23	3	7	1	0.0145	0.0184	
11	14	18	1	0.014	0.018	
6	38	16	1	0.013	0.0136	
2	48	1	1	0.0175	0.016	
8	56	27	1	0.013	0.0096	
13	52	36	1	0.014	0.01	
6	68	30	1	0.0205	0.0136	
47	47	13	1	0.0205	0.0096	
49	58	10	1	0.015	0.0148	
27	43	9	1	0.0175	0.012	
37	31	14	1	0.016	0.0112	
57	29	18	1	0.0145	0.0184	
63	23	2	1	0.0145	0.0184	
53	12	6	1	0.014	0.01	
32	12	7	1	0.013	0.0136	
36	26	18	1	0.0115	0.0088	
21	24	28	1	0.014	0.014	
17	34	3	1	0.018	0.0164	
12	24	13	1	0.022	0.0104	
24	58	19	1	0.0115	0.0168	
27	69	10	1	0.022	0.0104	
15	77	9	1	0.019	0.0088	
62	77	20	1	0.024	0.0156	
49	73	25	1	0.0115	0.0088	
67	5	25	1	0.019	0.0128	
56	39	36	1	0.021	0.01	
37	47	6	1	0.013	0.0176	
37	56	5	1	0.02	0.0092	
57	68	15	1	0.014	0.01	
47	16	25	1	0.012	0.0092	
44	17	9	1	0.011	0.0084	
46	13	8	1	0.024	0.0196	
49	11	18	1	0.01	0.008	
49	42	13	1	0.018	0.0084	
53	43	14	1	0.022	0.0104	
61	52	3	1	0.02	0.0172	
57	48	23	1	0.014	0.014	
56	37	6	1	0.02	0.0092	
55	54	26	1	0.017	0.0156	
15	47	16	1	0.0115	0.0088	
14	37	11	1	0.018	0.0164	
11	31	7	1	0.0115	0.0128	
16	22	41	1	0.0235	0.0112	
4	18	35	1	0.0115	0.0168	
28	18	26	1	0.0145	0.0144	
26	52	9	1	0.0235	0.0152	
26	35	15	1	0.011	0.0084	
31	67	3	1	0.0235	0.0112	
15	19	1	1	0.0205	0.0096	
22	22	2	1	0.013	0.0136	
18	24	22	1	0.0115	0.0128	
26	27	27	1	0.02	0.0172	
25	24	20	1	0.017	0.0156	
22	27	11	1	0.017	0.0156	
25	21	12	1	0.0145	0.0144	
19	21	10	1	0.01	0.012	
20	26	9	1	0.0145	0.0144	
18	18	17	1	0.022	0.0104
