C25

L
130

XCOORD.	YCOORD.	PROFIT	CUSTOMER	COLLECTRATE	DELAYRATIO
40	50	0	0	0.0175	0.008
45	68	10	1	0.02	0.0172
45	70	30	1	0.021	0.018
42	66	10	1	0.016	0.0152
42	68	10	1	0.0175	0.016
42	65	10	1	0.015	0.0148
40	69	20	1	0.017	0.0156
40	66	20	1	0.0145	0.0144
38	68	20	1	0.0145	0.0144
38	70	10	1	0.016	0.0152
35	66	10	1	0.011	0.0124
35	69	10	1	0.013	0.0136
25	85	20	1	0.0175	0.016
22	75	30	1	0.023	0.0108
22	85	10	1	0.015	0.0148
20	80	40	1	0.01	0.012
20	85	40	1	0.014	0.014
18	75	20	1	0.02	0.0092
15	75	20	1	0.0175	0.008
15	80	10	1	0.021	0.01
30	50	10	1	0.01	0.016
30	52	20	1	0.0115	0.0168
28	52	20	1	0.01	0.016
28	55	10	1	0.012	0.0172
25	50	10	1	0.021	0.014
25	52	40	1	0.023	0.0148
