R50

L
258

XCOORD.	YCOORD.	PROFIT	CUSTOMER	COLLECTRATE	DELAYRATIO
35	35	0	0	0.0175	0.012
41	49	10	1	0.0175	0.008
35	17	7	1	0.019	0.0168
55	45	13	1	0.01	0.012
55	20	19	1	0.021	0.014
15	30	26	1	0.014	0.014
25	30	3	1	0.021	0.018
20	50	5	1	0.0175	0.012
10	43	9	1	0.02	0.0172
55	60	16	1	0.021	0.018
30	60	16	1	0.0175	0.008
20	65	12	1	0.014	0.018
50	35	19	1	0.014	0.018
30	25	23	1	0.021	0.018
15	10	20	1	0.014	0.018
30	5	8	1	0.021	0.01
10	20	19	1	0.0175	0.008
5	30	2	1	0.021	0.01
20	40	12	1	0.01	0.008
15	60	17	1	0.021	0.014
45	65	9	1	0.0175	0.016
45	20	11	1	0.014	0.01
45	10	18	1	0.021	0.018
55	5	29	1	0.01	0.008
65	35	3	1	0.01	0.012
65	20	6	1	0.014	0.018
45	30	17	1	0.021	0.014
35	40	16	1	0.021	0.014
41	37	16	1	0.0235	0.0152
64	42	9	1	0.0145	0.0144
40	60	21	1	0.01	0.012
31	52	27	1	0.012	0.0172
35	69	23	1	0.013	0.0136
53	52	11	1	0.014	0.014
65	55	14	1	0.01	0.008
63	65	8	1	0.016	0.0112
2	60	5	1	0.0115	0.0088
20	20	8	1	0.01	0.012
5	5	16	1	0.0175	0.012
60	12	31	1	0.019	0.0128
40	25	9	1	0.014	0.01
42	7	5	1	0.017	0.0156
24	12	5	1	0.022	0.0104
23	3	7	1	0.0145	0.0184
11	14	18	1	0.014	0.018
6	38	16	1	0.013	0.0136
2	48	1	1	0.0175	0.016
8	56	27	1	0.013	0.0096
13	52	36	1	0.014	0.01
6	68	30	1	0.0205	0.0136
47	47	13	1	0.0205	0.0096
