C75

L
350

XCOORD.	YCOORD.	PROFIT	CUSTOMER	COLLECTRATE	DELAYRATIO
40	50	0	0	0.0175	0.008
45	68	10	1	0.02	0.0172
45	70	30	1	0.021	0.018
42	66	10	1	0.016	0.0152
42	68	10	1	0.0175	0.016
42	65	10	1	0.015	0.0148
40	69	20	1	0.017	0.0156
40	66	20	1	0.0145	0.0144
38	68	20	1	0.0145	0.0144
38	70	10	1	0.016	0.0152
35	66	10	1	0.011	0.0124
35	69	10	1	0.013	0.0136
25	85	20	1	0.0175	0.016
22	75	30	1	0.023	0.0108
22	85	10	1	0.015	0.0148
20	80	40	1	0.01	0.012
20	85	40	1	0.014	0.014
18	75	20	1	0.02	0.0092
15	75	20	1	0.0175	0.008
15	80	10	1	0.021	0.01
30	50	10	1	0.01	0.016
30	52	20	1	0.0115	0.0168
28	52	20	1	0.01	0.016
28	55	10	1	0.012	0.0172
25	50	10	1	0.021	0.014
25	52	40	1	0.023	0.0148
25	55	10	1	0.01	0.016
23	52	10	1	0.021	0.014
23	55	20	1	0.0235	0.0152
20	50	10	1	0.0175	0.012
20	55	10	1	0.021	0.014
10	35	20	1	0.014	0.014
10	40	30	1	0.0175	0.016
8	40	40	1	0.016	0.0152
8	45	20	1	0.02	0.0172
5	35	10	1	0.01	0.012
5	45	10	1	0.0175	0.016
2	40	20	1	0.0115	0.0128
0	40	30	1	0.01	0.012
0	45	20	1	0.014	0.014
35	30	10	1	0.014	0.01
35	32	10	1	0.015	0.0108
33	32	20	1	0.014	0.01
33	35	10	1	0.016	0.0112
32	30	10	1	0.0115	0.0088
30	30	10	1	0.01	0.008
30	32	30	1	0.0115	0.0088
30	35	10	1	0.014	0.01
28	30	10	1	0.0235	0.0192
28	35	10	1	0.012	0.0092
26	32	10	1	0.0235	0.0192
25	30	10	1	0.021	0.018
25	35	10	1	0.01	0.008
44	5	20	1	0.017	0.0156
42	10	40	1	0.019	0.0168
42	15	10	1	0.023	0.0188
40	5	30	1	0.014	0.014
40	15	40	1	0.021	0.018
38	5	30	1	0.012	0.0132
38	15	10	1	0.02	0.0172
35	5	20	1	0.01	0.012
50	30	10	1	0.01	0.016
50	35	20	1	0.014	0.018
50	40	50	1	0.0175	0.008
48	30	10	1	0.0235	0.0152
48	40	10	1	0.016	0.0192
47	35	10	1	0.0115	0.0168
47	40	10	1	0.015	0.0188
45	30	10	1	0.021	0.014
45	35	10	1	0.01	0.016
95	30	30	1	0.014	0.01
95	35	20	1	0.0175	0.012
53	30	10	1	0.012	0.0172
92	30	10	1	0.0115	0.0088
53	35	50	1	0.016	0.0192
45	65	20	1	0.0175	0.016
